CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1520729,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.79334526904956, 144.95404601277124)",-37.79334526904956,144.95404601277124,319858.18,5815141.87
1044522,Wirilda,Acacia retinoides,Acacia,Fabaceae,,1998.0,26/11/1998,,,,,Park,24/08/2019,"(-37.78954415818654, 144.95077335106993)",-37.789544158186544,144.9507733510699,319560.75,5815557.35
1663464,Kurrajong,Brachychiton populneus,Brachychiton,Malvaceae,,2017.0,22/05/2017,,,,,Street,24/08/2019,"(-37.80700089291643, 144.94380240127938)",-37.807000892916435,144.94380240127938,318989.5,5813606.76
1068529,Large-fruited Yellow or Blue Gum,Eucalyptus leucoxylon subsp. megalocarpa,Eucalyptus,Myrtaceae,15.0,2007.0,14/05/2007,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.827599162664825, 144.90259524674994)",-37.827599162664825,144.90259524674994,315412.89,5811240.38
1044234,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,26/11/1998,,,,,Park,24/08/2019,"(-37.790230663205975, 144.95016161303468)",-37.790230663205975,144.95016161303468,319508.55,5815479.99
1029756,Cyprus Plane,Platanus orientalis,Platanus,Platanaceae,30.0,1997.0,12/08/1997,Semi-Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.82148361025081, 144.96623548225347)",-37.82148361025081,144.96623548225347,320999.52,5812042.9
1028457,London Plane,Platanus x acerifolia,Platanus,Platanaceae,51.0,1997.0,12/02/1997,Mature,6-10 years (>50% canopy),10.0,,Park,24/08/2019,"(-37.8486760129446, 144.98022772664245)",-37.8486760129446,144.98022772664243,322296.44,5809052.19
1649045,Coastal Banksia,Banksia integrifolia,Banksia,Proteaceae,,2017.0,01/03/2017,,,,,Park,24/08/2019,"(-37.8161987296781, 144.93559879659574)",-37.8161987296781,144.93559879659574,318289.8,5812570.18
1064741,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,2006.0,09/01/2006,,,,,Park,24/08/2019,"(-37.781768309512266, 144.9556823071076)",-37.781768309512266,144.9556823071076,319974.17,5816429.67
1455764,Snow Gum,Eucalyptus pauciflora subsp. pauciflora,Eucalyptus,Myrtaceae,7.0,2010.0,08/09/2010,Juvenile,61+ years,80.0,,Park,24/08/2019,"(-37.82587639504566, 144.96894008858274)",-37.825876395045654,144.96894008858274,321248.19,5811560.63
1456726,Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,19.0,2010.0,11/10/2010,Juvenile,61+ years,80.0,,Street,24/08/2019,"(-37.80160960415356, 144.95287427699728)",-37.80160960415356,144.95287427699728,319775.09,5814222.55
1662666,Grey Sheoak,Casuarina glauca,Casuarina,Casuarinaceae,,2017.0,06/06/2017,,,,,Park,24/08/2019,"(-37.81669355055979, 144.93375369808058)",-37.81669355055979,144.9337536980806,318128.59,5812511.68
1063533,London Plane,Platanus x acerifolia,Platanus,Platanaceae,20.0,2000.0,01/01/2000,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.797188236684406, 144.92948126179255)",-37.797188236684406,144.92948126179257,317704.52,5814667.79
1023364,London Plane,Platanus x acerifolia,Platanus,Platanaceae,33.0,1997.0,11/12/1997,Semi-Mature,<1 year,1.0,,Street,24/08/2019,"(-37.810234942338, 144.95852744375873)",-37.810234942338,144.95852744375873,320293.75,5813276.32
1546354,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,2013.0,27/06/2013,,,,,Park,24/08/2019,"(-37.78158565859849, 144.95536146712047)",-37.781585658598495,144.95536146712047,319945.47,5816449.32
1520826,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.788383299152926, 144.9519982023964)",-37.788383299152926,144.95199820239642,319665.79,5815688.53
